year,month,day,crime_disorder,crime_robbery,crime_aggravated_assault,crime_burglary,crime_mv_theft,crime_theft,crime_gun,crime_violent,crime_property,crime_index,crime_disorder_day,crime_robbery_day,crime_aggravated_assault_day,crime_burglary_day,crime_mv_theft_day,crime_theft_day,crime_gun_day,crime_violent_day,crime_property_day,crime_index_day,crime_disorder_night,crime_robbery_night,crime_aggravated_assault_night,crime_burglary_night,crime_mv_theft_night,crime_theft_night,crime_gun_night,crime_violent_night,crime_property_night,crime_index_night,crime_disorder_is_sunrise,crime_robbery_is_sunrise,crime_aggravated_assault_is_sunrise,crime_burglary_is_sunrise,crime_mv_theft_is_sunrise,crime_theft_is_sunrise,crime_gun_is_sunrise,crime_violent_is_sunrise,crime_property_is_sunrise,crime_index_is_sunrise,crime_disorder_is_sunset,crime_robbery_is_sunset,crime_aggravated_assault_is_sunset,crime_burglary_is_sunset,crime_mv_theft_is_sunset,crime_theft_is_sunset,crime_gun_is_sunset,crime_violent_is_sunset,crime_property_is_sunset,crime_index_is_sunset,total_calls,calls_sunrise,calls_sunset,days_until_fall_dst,days_until_spring_dst,city
2019,6,1,0,0,7,0,0,9,7,7,9,16,0,0,3,0,0,5,1,3,5,8,0,0,3,0,0,4,6,3,4,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,120,1,16,-155,83,Hartford
2020,6,1,0,0,2,0,1,8,4,2,9,11,0,0,0,0,0,3,0,0,3,3,0,0,2,0,1,4,4,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,89,1,8,-153,85,Hartford
2021,6,1,18,1,0,0,0,7,1,1,7,8,14,1,0,0,0,6,1,1,6,7,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,87,1,13,-159,79,Hartford
2022,6,1,22,3,1,1,2,5,0,4,8,12,22,3,1,1,2,5,0,4,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,0,10,-158,80,Hartford
2023,6,1,18,1,2,2,7,5,5,3,14,17,12,0,1,0,6,4,4,1,10,11,6,1,1,1,1,0,1,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,96,0,10,-157,81,Hartford
2024,6,1,20,0,2,0,0,5,4,2,5,7,11,0,0,0,0,5,0,0,5,5,8,0,2,0,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,88,0,5,-155,83,Hartford
2012,7,1,0,1,1,3,0,6,1,2,9,11,0,0,0,1,0,3,0,0,4,4,0,1,1,2,0,2,0,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,95,0,12,-126,112,Hartford
2013,7,1,0,0,2,2,1,5,1,2,8,10,0,0,1,1,1,3,0,1,5,6,0,0,1,1,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,141,0,7,-125,113,Hartford
2014,7,1,0,1,4,2,0,11,0,5,13,18,0,1,2,1,0,8,0,3,9,12,0,0,2,1,0,1,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,155,0,11,-124,114,Hartford
2015,7,1,0,1,3,3,0,15,2,4,18,22,0,0,2,1,0,11,1,2,12,14,0,1,1,1,0,2,1,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,3,157,0,16,-123,115,Hartford
